,Import Type,Season Stakes*,Total Stakes*,No. of 1-2-3-Starts*,No. of starts in past 10race meetings,Current Stable Location(Arrival Date),Import Date,Trainer,Owner,Current Rating,Start ofSeason Rating,Sire,Dam,Dam's Sire,Same Sire,name,Country of Origin,Age,Colour,Sex,PP Pre-import races footage
0,PP,$0,$0,0-0-0-0,0,Conghua(08/03/2024),20/01/2024,P C Ng,Athy Ngai Sze Yin,65,65,Bungle Inthejungle,Ms Gree,Toronado,SUPER BONUS SUPERSONIC TRIUMPHANT WARRIOR,2023_J328,IRE,3,Chestnut,Gelding,
1,PPG,$0,$0,0-0-0-2,2,Hong Kong(08/02/2024),09/10/2023,D J Whyte,Chan Ngan Chi & Chen Yung Hung,50,52,Power,Queen Istona,Chateau Istana,J365 BLISSFUL STAR CHEONG FAT HEALTHY POWER HOLY POWER WIDE BLUE YONDER,2023_J181,AUS,3,Bay,Gelding,
2,PP,"$65,100","$65,100",0-0-0-6,1,Hong Kong(02/08/2023),11/02/2023,C S Shum,Edward Chan King Sang,64,72,Gregorian,La Belle Maison,Titus Livius,Nil,2022_H331,IRE,4,Brown,Gelding,
3,PPG,"$2,976,000","$4,619,550",4-1-4-24,1,Hong Kong(06/04/2024),05/07/2022,J Size,Chan Yee Lap,72,61,Per Incanto,Island Time,Al Akbar,J409 J421 AEROINVINCIBLE BABY CRYSTAL BRAVO WARRIOR CAMP FIRE CAN'T GO WONG CIRCUIT VICTORY COLOURFUL PRINCE DUKE WAI FLYING DRAGON GOLDEN LINK GOLDEN LUCK GRAND BOSS HAPPY DAY HEALTHY HEALTHY I GIVE LITTLE BROSE LUCKY FIONN RAGING BLIZZARD RATTAN KINGDOM RATTAN WORLD ROARING BEBE SEIZING THE MOMENT SIXTH GENERATION THE PRIME UNISON WOOD ON FIRE,2022_H037,NZ,5,Bay,Gelding,
4,PP,"$878,400","$878,400",1-0-0-6,1,Hong Kong(02/04/2024),26/07/2022,Y S Tsui,High Value Syndicate,67,63,Vancouver,Anatole,Quiet American,ALP'S AFFECTION ALWAYS FLUKE GRAND NOVA MISSION VOICE MULTISUPER,2022_H076,AUS,5,Bay,Gelding,
5,PP,"$1,251,900","$2,970,650",3-4-2-36,2,Hong Kong(14/03/2024),24/08/2020,D J Hall,ACA Friends Syndicate,46,42,Zoffany,Lavender Bay,Magnus,ALLOY KING C P BRAVE,2020_E144,AUS,7,Bay,Gelding,
6,PP,"$41,000","$41,000",0-0-0-11,3,Hong Kong(02/03/2024),20/02/2023,D A Hayes,Sze-to Ka Ming,51,73,Tosen Stardom,Petroica,Anabaa,Nil,2022_H342,AUS,4,Bay,Gelding,
7,PPG,"$2,113,350","$3,544,425",2-5-2-21,2,Conghua(29/03/2024),26/07/2022,J Size,Good Faith Syndicate,66,60,Press Statement,Encrypted,Hussonet,ALL IS GOOD GORGEOUS WIN MILES OF STAR WINDICATOR FAMILY YOHOHO YOUNG SUPERSTAR,2022_H082,AUS,5,Brown,Gelding,
8,PPG,"$146,100","$1,269,300",1-1-0-20,1,Conghua(27/03/2024),05/07/2022,C Fownes,Ronald Jeffrey Yang Yiu Chong,39,49,Swiss Ace,Repulse Bay,Darci Brahma,AMAZING GALAXY DRAGON AIR FORCE EURO ROCKS FAST SERVE FLYING ACE FORTUNE WARRIOR GIMME FIVE HAROLD WIN JOYFUL LIFE LOST CHILD LOYAL BO BO MARIO MASSIVE TALENT MR ENERGIA NEW POWER THUNDERBOLTAURUS B TOP PEAK,2022_H046,NZ,5,Bay,Gelding,
9,PPG,"$3,432,600","$6,737,425",5-3-3-20,1,Conghua(05/04/2024),20/12/2021,P F Yiu,Tam Kwok Cheung,83,72,Deep Field,Dijonnaise,I Am Invincible,J423 J427 ALMIGHTY KICK BLAZING WIND BOOMBAYAH CALIFORNIA DEEPLY CALIFORNIA ICON CALIFORNIA TOUCH CHEER FOR SOUTH CIRCUIT MAXIMUS CIRCUIT SEVEN DAN ATTACK DEEP PURSUIT DENFIELD DIAMOND FLARE DIAMOND SOARS DRACO DRALA DURHAM STAR EVERYONE'S VICTORY FALCON COURT FASHION LEGEND GALLANT GOODY GORGEOUS VITALITY HAYDAY HINOKAMI KAGURA HOWDEEPISYOURLOVE HYPER DRAGON BALL JOY OF SPRING LIFE OF STONE LUCKY ARCHANGEL MASTER MASTERMIND MORE RICE MUGEN NOBLE ONE NOBLE WIN PACKING BOLE PACKING BRILLIANT PARENTS' LOVE ROBOT KNIGHT RUN RUN TIMING SELF IMPROVEMENT SPLENDID STAR SPONGE BABE SPORTS LEGEND SUGAR BALL SUPER ELITE SUPER GLORY SUPER HIGHWAY SUPREME LUCKY TEAM HAPPY THE GOLDEN SCENERY THE GOOD DEAL VIGOR ELLEEGANT VIVA GRACIOUSNESS VOYAGE BUBBLE WINNING MONEY YEE CHEONG RAIDER YOO YOO KNIGHT YOUTHFUL DEAL,2021_G317,AUS,5,Bay,Gelding,
