,Race Index,Pla.,Date,RC/Track/ Course,Dist.,G,Race Class,Dr.,Rtg.,Trainer,Jockey,LBW,Win Odds,Act. Wt.,Running Position,Finish Time,Declar. Horse Wt.,Gear,horse,season,N_RaceIndex
0,564,07,07/04/24,"ST / Turf / ""B+2""",1200,G,4,7,52,D J Whyte,L Ferraris,9,73,123,3 2 7,1.10.84,1106,--,2023_J181,23/24,23/24_564
1,480,09,06/03/24,"HV / Turf / ""B""",1200,G,4,2,52,D J Whyte,H Bentley,4-3/4,12,127,3 2 9,1.11.24,1100,--,2023_J181,23/24,23/24_480
2,507,10,16/03/24,"ST / Turf / ""C+3""",1200,G,3,6,67,T P Yung,C L Chau,6,5.6,123,3 4 10,1.09.77,1225,TT,2022_H076,23/24,23/24_507
3,454,04,25/02/24,"ST / Turf / ""A+3""",1200,G,3,10,67,T P Yung,C L Chau,2-1/4,14,123,5 5 4,1.09.94,1222,TT,2022_H076,23/24,23/24_454
4,371,01,28/01/24,"ST / Turf / ""A+3""",1200,G,4,12,60,T P Yung,Z Purton,1-1/4,4.8,135,1 1 1,1.09.88,1228,TT,2022_H076,23/24,23/24_371
5,353,04,21/01/24,"ST / Turf / ""A""",1200,G,3,1,61,T P Yung,M L Yeung,3-1/4,89,117,5 3 4,1.09.47,1237,TT,2022_H076,23/24,23/24_353
6,305,11,01/01/24,"ST / Turf / ""A""",1200,G,3,10,63,T P Yung,A Hamelin,8,256,118,2 2 11,1.10.40,1247,TT,2022_H076,23/24,23/24_305
7,250,12,13/12/23,"HV / Turf / ""B""",1200,G,3,3,63,T P Yung,C L Chau,7,15,120,5 6 12,1.11.10,1244,TT1,2022_H076,23/24,23/24_250
8,493,12,10/03/24,"ST / Turf / ""C""",1600,GY,3,11,66,C S Shum,H Bentley,7-1/4,68,126,6 8 10 12,1.37.75,1037,TT,2022_H331,23/24,23/24_493
9,426,07,15/02/24,"HV / Turf / ""C""",1800,G,3,6,68,C S Shum,H Bentley,2-3/4,40,123,8 9 10 10 7,1.51.20,1040,TT,2022_H331,23/24,23/24_426
10,377,13,28/01/24,"ST / Turf / ""A+3""",1600,G,3,2,70,C S Shum,B Avdulla,7-1/2,34,129,9 8 7 13,1.36.26,1037,TT,2022_H331,23/24,23/24_377
11,288,10,26/12/23,"ST / Turf / ""C+3""",1600,G,3,12,72,C S Shum,C L Chau,9,39,130,4 4 4 10,1.36.10,1047,TT,2022_H331,23/24,23/24_288
12,234,05,10/12/23,"ST / Turf / ""A""",1400,G,3,4,72,C S Shum,C L Chau,1-1/4,146,126,6 7 8 5,1.23.11,1043,TT,2022_H331,23/24,23/24_234
13,099,12,18/10/23,"HV / Turf / ""B""",1200,Y,3,8,72,C S Shum,A Atzeni,20,101,129,11 12 12,1.13.26,1076,TT1,2022_H331,23/24,23/24_099
14,567,10,07/04/24,"ST / Turf / ""B+2""",1600,G,4,13,54,D A Hayes,M L Yeung,6-1/4,82,130,14 14 14 10,1.37.04,1116,XB-/B/TT,2022_H342,23/24,23/24_567
15,525,08,24/03/24,"ST / Turf / ""A""",1600,GF,4,2,56,D A Hayes,L Hewitson,5-1/4,54,132,6 7 6 8,1.35.12,1121,B/XB/TT,2022_H342,23/24,23/24_525
16,477,09,06/03/24,"HV / Turf / ""B""",1800,G,4,4,58,D A Hayes,H Bowman,8,6.5,134,7 7 7 7 9,1.52.28,1111,B/XB1/TT,2022_H342,23/24,23/24_477
