,Race Index,Pla.,Date,RC/Track/ Course,Dist.,G,Race Class,Dr.,Rtg.,Trainer,Jockey,LBW,Win Odds,Act. Wt.,Running Position,Finish Time,Declar. Horse Wt.,Gear,horse,season,N_RaceIndex
0,521,05,20/03/24,"HV / Turf / ""C+3""",1200,G,3,6,72,J Size,A Hamelin,1-1/2,18,129,8 8 5,1.10.16,1081,B,2022_H037,23/24,23/24_521
1,463,03,28/02/24,"HV / Turf / ""A""",1200,G,3,2,72,J Size,A Hamelin,2,6.2,128,8 7 3,1.10.98,1078,B,2022_H037,23/24,23/24_463
2,422,01,15/02/24,"HV / Turf / ""C""",1200,G,3,11,67,J Size,Z Purton,HD,5.2,127,9 9 1,1.10.51,1075,B,2022_H037,23/24,23/24_422
3,386,04,31/01/24,"HV / Turf / ""A""",1200,G,3,8,68,J Size,M F Poon,2-3/4,14,123,10 9 4,1.10.18,1083,B,2022_H037,23/24,23/24_386
4,332,03,10/01/24,"HV / Turf / ""B""",1200,G,3,3,68,J Size,A Atzeni,2-1/2,7.3,126,11 10 3,1.10.30,1074,B1,2022_H037,23/24,23/24_332
5,295,07,29/12/23,"HV / Turf / ""C+3""",1200,G,3,7,68,J Size,Z Purton,2,4.8,125,10 10 7,1.10.54,1095,--,2022_H037,23/24,23/24_295
6,250,03,13/12/23,"HV / Turf / ""B""",1200,G,3,6,68,J Size,Z Purton,1-1/4,4.1,125,10 10 3,1.10.18,1080,--,2022_H037,23/24,23/24_250
7,194,02,22/11/23,"HV / Turf / ""C""",1200,G,3,6,66,J Size,L Currie,N,14,122,9 11 2,1.10.16,1083,--,2022_H037,23/24,23/24_194
8,153,01,08/11/23,"HV / Turf / ""A""",1200,G,4,4,60,J Size,Z Purton,3/4,2.4,135,7 7 1,1.09.61,1067,--,2022_H037,23/24,23/24_153
9,093,04,18/10/23,"HV / Turf / ""B""",1000,GY,4,5,60,J Size,A Atzeni,1-3/4,13,135,10 11 4,0.57.75,1075,--,2022_H037,23/24,23/24_093
10,054,08,27/09/23,"HV / Turf / ""C""",1200,GF,3,6,61,J Size,A Badel,5-3/4,32,116,9 9 8,1.10.05,1068,--,2022_H037,23/24,23/24_054
11,795,05,03/07/23,"ST / Turf / ""C""",1200,GY,3,3,61,J Size,K Teetan,2-1/2,9.1,117,11 11 5,1.10.54,1076,--,2022_H037,22/23,22/23_795
12,747,06,14/06/23,"HV / Turf / ""B""",1200,G,3,9,61,J Size,A Badel,3-1/4,28,116,11 11 6,1.10.15,1079,--,2022_H037,22/23,22/23_747
13,690,05,24/05/23,"HV / Turf / ""C""",1200,G,3,2,61,J Size,A Hamelin,2,7.2,118,12 10 5,1.10.16,1072,--,2022_H037,22/23,22/23_690
